product_category_final,item_revenue,share,cum_share,rank
bed_bath_table,94838.43000000001,0.13084744910579105,0.13084744910579105,1
sports_leisure,71258.13,0.09831399084262404,0.2291614399484151,2
furniture_decor,61260.76,0.08452073886379266,0.3136821788122077,3
computers_accessories,60577.08,0.08357747373377472,0.39725965254598244,4
health_beauty,53891.01,0.07435278281425237,0.4716124353602348,5
watches_gifts,52173.05,0.07198253392183834,0.5435949692820732,6
housewares,33386.46,0.04606290008884086,0.589657869370914,7
toys,22070.62,0.030450570799023705,0.6201084401699377,8
cool_stuff,21332.06,0.029431588388501167,0.6495400285584388,9
perfumery,20735.02,0.028607859431641364,0.6781478879900802,10
auto,20492.37,0.028273078124891344,0.7064209661149715,11
garden_tools,19001.22,0.02621575628042281,0.7326367223953943,12
fashion_bags_accessories,16298.59,0.022486969950063013,0.7551236923454574,13
baby,15104.25,0.02083915331744889,0.7759628456629063,14
telephony,13856.25,0.01911730262375829,0.7950801482866646,15
small_appliances,13349.86,0.01841864238916055,0.8134987906758252,16
office_furniture,12265.52,0.016922591442689025,0.8304213821185142,17
pet_shop,11716.62,0.016165280668837448,0.8465866627873517,18
home_appliances,8698.91,0.012001782225843012,0.8585884450131948,19
stationery,8364.26,0.011540069617955546,0.8701285146311503,20
unknown,8247.85,0.011379460131374999,0.8815079747625253,21
construction_tools_construction,7317.16,0.01009539825468357,0.8916033730172088,22
consoles_games,7048.7,0.009725007199212272,0.9013283802164211,23
furniture_living_room,6142.02,0.008474071632741609,0.9098024518491628,24
luggage_accessories,6065.51,0.008368511699589149,0.9181709635487519,25
electronics,4950.02,0.006829483470178152,0.9250004470189301,26
home_construction,4540.68,0.006264721961399859,0.93126516898033,27
computers,4339.0,0.0059864664742976794,0.9372516354546276,28
home_confort,4286.18,0.005913591351188115,0.9431652268058157,29
air_conditioning,3604.16,0.004972616503342873,0.9481378433091586,30
musical_instruments,3411.93,0.004707399068368399,0.952845242377527,31
home_appliances_2,3283.6,0.004530343700162217,0.9573755860776892,32
food,2489.56,0.003434816196301574,0.9608104022739908,33
construction_tools_lights,2345.86,0.0032365550226771045,0.9640469572966679,34
fashion_shoes,2141.42,0.0029544915965408016,0.9670014488932087,35
drinks,2129.43,0.0029379491367512575,0.96993939802996,36
costruction_tools_garden,1769.7,0.002441633952423278,0.9723810319823832,37
audio,1689.79,0.002331383079880958,0.9747124150622642,38
construction_tools_safety,1472.8,0.0020320045686438404,0.9767444196309081,39
kitchen_dining_laundry_garden_furniture,1288.3,0.0017774521223410235,0.9785218717532491,40
books_general_interest,1284.26,0.0017718781825954225,0.9802937499358445,41
industry_commerce_and_business,1174.9,0.0016209954968085605,0.9819147454326531,42
fashion_male_clothing,1167.05,0.001610164945570202,0.9835249103782233,43
fixed_telephony,1153.65,0.0015916771256219218,0.9851165875038452,44
market_place,1089.98,0.0015038323871064726,0.9866204198909517,45
agro_industry_and_commerce,1036.95,0.0014306675295051806,0.9880510874204569,46
cine_photo,973.59,0.0013432504942870428,0.989394337914744,47
furniture_bedroom,788.4,0.001087746063225695,0.9904820839779697,48
food_drink,785.31,0.0010834828271331436,0.9915655668051028,49
small_appliances_home_oven_and_coffee,750.0,0.001034766041881369,0.9926003328469841,50
fashion_underwear_beach,641.09,0.0008845042157196358,0.9934848370627037,51
furniture_mattress_and_upholstery,577.8,0.0007971837586654066,0.9942820208213692,52
art,530.48,0.0007318969198629715,0.9950139177412322,53
costruction_tools_tools,468.2,0.0006459699477451426,0.9956598876889773,54
signaling_and_security,427.4,0.000589678675066796,0.996249566364044,55
arts_and_craftmanship,372.67999999999995,0.0005141821446511313,0.9967637485086952,56
la_cuisine,298.0,0.00041114704064086394,0.997174895549336,57
books_technical,260.94,0.0003600158012913659,0.9975349113506274,58
tablets_printing_image,256.49,0.00035387618944286974,0.9978887875400703,59
fashio_female_clothing,250.86,0.0003461085456884803,0.9982348960857588,60
diapers_and_hygiene,250.0,0.00034492201396045633,0.9985798180997192,61
books_imported,228.99,0.00031593476790721956,0.9988957528676264,62
christmas_supplies,225.47000000000003,0.00031107826595065636,0.9992068311335771,63
dvds_blu_ray,223.7,0.0003086362180918163,0.999515467351669,64
pc_gamer,129.99,0.00017934565037887887,0.9996948130020479,65
fashion_sport,84.89,0.00011712171906041255,0.9998119347211083,66
music,48.620000000000005,6.708043327502954e-05,0.9998790151543834,67
fashion_childrens_clothes,39.99,5.51737253531146e-05,0.9999341888797365,68
home_comfort_2,25.8,3.559595184071909e-05,0.9999697848315773,69
party_supplies,21.9,3.0215168422935972e-05,1.0000000000000002,70
