ano_mes,receita_mensal,pedidos_mensais,ticket_medio_mensal,variacao_receita_mom_pct,variacao_pedidos_mom_pct,variacao_ticket_mom_pct,pedidos_entregues_validos,pedidos_atrasados,taxa_atraso_pct,atraso_medio_dias,lead_time_medio_dias,nota_media_mensal,taxa_reviews_negativas_pct,clientes_unicos,novos_clientes,clientes_com_recompra,taxa_clientes_com_recompra_pct,percentual_receita_sellers_estrategicos,percentual_pedidos_sellers_estrategicos
2017-01,33599.12,283,118.72480565371026,,,,283,0,0.0,0.0,8.602918425271561,4.306049822064057,8.540925266903916,264,263,12,4.545454545454546,2.553935936417382,3.53356890459364
2017-02,198909.29,1351,147.23115470022208,492.0074394805578,377.3851590106007,24.010440690597967,1351,2,0.1480384900074019,0.0022967983249719,10.331249691586478,4.3039434523809526,9.151785714285714,1328,1325,22,1.6566265060240966,4.736048276075994,5.359765051395008
2017-03,335886.21,2382,141.0101637279597,68.86401333995009,76.31384159881569,-4.225322408785659,2382,64,2.686817800167926,0.2033561024815748,11.908795353655503,4.242911553110453,9.860347016504443,2354,2340,42,1.7841971112999149,7.806471126039977,10.079464659138436
2017-04,268687.23,1849,145.31488912925906,-20.006471834613283,-22.376154492023513,3.0527766846680127,1849,103,5.570578691184424,0.513215758518118,12.813702276505818,4.162309368191721,12.254901960784313,1821,1808,37,2.0318506315211424,8.015137154080602,11.08719052744887
2017-05,520141.45,3751,138.66740869101574,93.58621918875714,102.86641427798808,-4.5745349826681,3751,226,6.025059984004265,0.46458350612676125,12.943527053279618,4.167515411417851,11.819887429643527,3699,3669,79,2.135712354690457,8.86634010806099,11.648177496038036
2017-06,430779.58,3223,133.65795221843004,-17.180301627566884,-14.076246334310849,-3.612569470990812,3223,114,3.537077257213776,0.3270059992702911,11.679506469702714,4.2315278647464,10.300563556668754,3171,3123,96,3.0274361400189216,10.066665648357798,13.433753458346143
2017-07,455000.99,3455,131.69348480463097,5.622692236247584,7.198262488364882,-1.4697721917725115,3455,117,3.3863965267727933,0.25304630634614356,11.289014508629469,4.268126520681266,9.751824817518248,3403,3360,91,2.6741110784601823,13.849708327008257,16.200798630918424
2017-08,535529.93,4302,124.48394467689448,17.698629622761942,24.515195369030394,-5.474485042621458,4302,119,2.7661552766155277,0.26151366666236203,11.00048658731081,4.301355456882449,9.60504790838981,4223,4164,130,3.0783802983660906,15.49803014744666,16.80384087791495
2017-09,580268.36,3965,146.347631778058,8.354048484274257,-7.833565783356578,17.56345941471571,3965,175,4.4136191677175285,1.1892822293447294,12.487484292536546,4.272426095820591,9.734964322120284,3906,3832,127,3.2514080901177675,12.030333689053803,16.50872817955112
2017-10,657565.27,4494,146.320709835336,13.320890010270436,13.341740226986133,-0.018395885464561612,4494,219,4.873164218958611,0.3703728221991462,11.757649407028302,4.242786848579736,10.512189666741222,4438,4327,157,3.5376295628661563,13.62449236408121,16.7068625301469
2017-11,651457.52,4670,139.4983982869379,-0.9288431549920539,3.916332888295515,-4.662574119600482,4670,243,5.2034261241970015,0.4144040739749385,11.884157392537077,4.206161137440758,10.96510124946144,4610,4523,143,3.1019522776572668,13.006633187686589,15.670538542766632
2017-12,944992.9,7205,131.15793199167246,45.05825337621401,54.28265524625269,-5.978897534084748,7205,765,10.617626648161,0.670575176060863,14.14110655537564,4.091157128865258,13.991884706870014,7107,6964,232,3.264387223863796,13.451317994029372,16.481557658028244
2018-01,851118.12,6597,129.01593451568894,-9.93391378919355,-8.438584316446907,-1.6331436791177212,6597,667,10.110656358951038,1.2665414326236952,15.3309872420264,4.026452599388379,16.10091743119266,6543,6405,189,2.8885832187070153,13.561765081443689,16.24813153961136
2018-02,749970.56,5850,128.20009572649573,-11.88408020263979,-11.323328785811738,-0.6323550592845506,5850,384,6.564102564102564,0.5740852761949984,14.672380947293448,4.107222892604724,13.342527150491296,5763,5645,197,3.418358493840014,11.641150287285942,12.89940828402367
2018-03,892100.11,6824,130.72979337631887,18.951350570347714,16.649572649572654,1.9732416231732275,6824,1080,15.826494724501758,1.1350495137667709,15.365344349056707,3.928273151559813,17.951363301400146,6702,6560,252,3.7600716204118174,11.994992355734604,13.07056948268367
2018-04,1111972.48,7850,141.65254522292994,24.64660272264736,15.035169988276675,8.355212354056762,7850,1462,18.624203821656053,2.169736379452701,15.366258672446332,3.8658317276814387,20.475272960822092,7788,7600,246,3.1587057010785826,12.087874692726208,13.69330994738161
2018-05,1008601.56,7111,141.83681057516523,-9.296176106804365,-9.414012738853506,0.13008262713902763,7111,470,6.609478273098017,1.054328054279494,11.861214952251858,4.202857547036356,11.882868864054322,7051,6883,219,3.1059424195149625,12.604626548465777,14.540675152185944
2018-06,1003232.4400000001,6829,146.90766437252893,-0.5323331048585733,-3.9656869638588055,3.575132419292837,6829,577,8.449260506662762,0.6982947485668418,11.721083525867353,4.196134626690182,12.198706643151088,6776,6564,254,3.7485242030696577,10.79686278884682,12.76595744680851
2018-07,796428.85,5839,136.39815893132385,-20.613726366344377,-14.496998096353785,-7.153816981634831,5839,99,1.6954958040760404,0.24400521636124906,9.14920776761305,4.338156761412575,9.21619293712317,5788,5635,203,3.507256392536282,8.554795572762087,11.019376579612468
2018-08,1141791.54,8314,137.33359874909792,43.36391003414808,42.387395101901014,0.6858155748605599,8314,877,10.548472456098148,0.4309668263705129,8.74114406116635,4.2869139681005315,10.00483325277912,8247,8049,255,3.0920334667151694,8.35197377622889,9.972822876048683
